#1=α 2=act 3=ϕ 4=ϵg 5=q 
0.001 erf 1.418245435352787 0.4998993282309283 0.0004531565502106529
0.002 erf 1.417552436199552 0.4998046386047032 0.0008793854788820387
0.003 erf 1.416859535696754 0.4997059265713975 0.0013237204919292914
0.004 erf 1.4161667338110093 0.4996073847481952 0.0017672892069143901
0.005 erf 1.415474030515319 0.4995088938046306 0.0022106287269077914
0.006 erf 1.414781425780419 0.49941045155134844 0.0026537488647460613
0.007 erf 1.414088919576993 0.49931205793007294 0.003096649840710295
0.008 erf 1.4133965118757155 0.499213712921261 0.003539331700857724
0.009 erf 1.4127042026472483 0.49911541650607677 0.003981794488187707
0.01 erf 1.4120119918622427 0.49901716866570084 0.00442403824574909
0.011 erf 1.4113198794913393 0.49891896938131836 0.004866063016696423
0.012 erf 1.4106278655051676 0.49882081863411804 0.00530786884429086
0.013 erf 1.4099359498743473 0.49872271640529275 0.005749455771900046
0.014 erf 1.4092441325694858 0.4986246626760391 0.006190823842998017
0.015 erf 1.4085524135611802 0.4985266574275576 0.006631973101165016
0.016 erf 1.4078607928161515 0.4984289003962997 0.007072004437343093
0.017 erf 1.4071692703165093 0.49833079587843904 0.007513599235846372
0.018 erf 1.4064778460175644 0.4982331316893997 0.00795321128713898
0.019 erf 1.4057865199011736 0.498135323810542 0.008393469373492697
0.02 erf 1.4050952919342437 0.498037560494699 0.008833526078473888
0.021 erf 1.4044041620872316 0.4979398454710748 0.009273364575666883
0.022 erf 1.4037131303306587 0.49784217879543186 0.009712984573888516
0.023 erf 1.4030221966350376 0.49774456045048154 0.010152386110898432
0.024 erf 1.40233136097087 0.49764699041748744 0.010591569231094276
0.025 erf 1.4016406233086471 0.49754946867768796 0.01103053397910831
0.026 erf 1.4009499836188501 0.4974519952123247 0.011469280399680211
0.027 erf 1.4002594418719492 0.4973545700026426 0.011907808537654392
0.028 erf 1.3995689980384045 0.4972571930298906 0.012346118437979836
0.029 erf 1.3988786520886658 0.4971598642753205 0.012784210145709969
0.03 erf 1.3981884039931725 0.4970625837201883 0.013222083706002537
0.031 erf 1.3974982537223535 0.49696535134575304 0.013659739164119458
0.032 erf 1.3968082012466274 0.4968681671332775 0.014097176565426688
0.033 erf 1.396118246536403 0.496771031064028 0.014534395955394117
0.034 erf 1.3954283895620785 0.49667394311927393 0.014971397379595418
0.035 erf 1.3947386302940417 0.4965769032802884 0.015408180883707925
0.036 erf 1.3940489687026705 0.4964799115283478 0.015844746513512486
0.037 erf 1.3933594047583329 0.49638296784473207 0.01628109431489335
0.038 erf 1.392669938431386 0.49628607221072424 0.016717224333838054
0.039 erf 1.3919805696921776 0.49618922460761095 0.017153136616437206
0.04 erf 1.3912912985110448 0.4960924250166819 0.017588831208884482
0.041 erf 1.3906021248583154 0.4959956734192303 0.018024308157476375
0.042 erf 1.389913048704306 0.4958989697965525 0.018459567508612145
0.043 erf 1.3892240700193246 0.4958023141299483 0.018894609308793622
0.044 erf 1.388535188773668 0.49570570640072054 0.019329433604625166
0.045 erf 1.387846404937624 0.49560914659017535 0.019764040442813404
0.046 erf 1.3871577184814698 0.495512634679622 0.02019842987016722
0.047 erf 1.3864691293754734 0.495416170650373 0.02063260193359753
0.048 erf 1.385780637589892 0.4953197544837442 0.021066556680117254
0.049 erf 1.3850922430949737 0.4952233861610543 0.021500294156841047
0.05 erf 1.384403945860957 0.49512706566362524 0.021933814410985276
0.051 erf 1.3837157458580696 0.49503079297278213 0.02236711748986784
0.052 erf 1.3830276430565305 0.49493456806985303 0.022800203440908048
0.053 erf 1.3823396374265486 0.4948383909361692 0.023233072311626485
0.054 erf 1.3816517289383226 0.49474226155306483 0.023665724149644858
0.055 erf 1.380963917562042 0.4946461799018773 0.024098159002685852
0.056 erf 1.3802762032678875 0.49455014596394686 0.024530376918573113
0.057 erf 1.379588586026028 0.4944541597206168 0.02496237794523095
0.058 erf 1.3789010658066252 0.49435822115323336 0.02539416213068428
0.059 erf 1.3782136425798297 0.49426233024314586 0.025825729523058494
0.06 erf 1.3775263163157827 0.4941664869717063 0.02625708017057933
0.061 erf 1.376839086984617 0.4940706913202698 0.026688214121572698
0.062 erf 1.3761519545564544 0.4939749432701944 0.02711913142446459
0.063 erf 1.3754649190014085 0.49387924280284107 0.027549832127780897
0.064 erf 1.3747779802895828 0.49378358989957327 0.02798031628014733
0.065 erf 1.3740911383910714 0.49368798454175783 0.02841058393028926
0.066 erf 1.3734043932759592 0.49359242671076403 0.02884063512703152
0.067 erf 1.3727177449143217 0.49349691638796417 0.02927046991929839
0.068 erf 1.3720311932762252 0.49340145355473325 0.02970008835611338
0.069 erf 1.3713447383317265 0.49330603819244906 0.030129490486599096
0.07 erf 1.3706583800508734 0.49321067028249216 0.03055867635997714
0.071 erf 1.3699721184037041 0.49311534980624594 0.030987646025567892
0.072 erf 1.3692859533602482 0.49302007674509635 0.031416399532790545
0.073 erf 1.3685998848905248 0.4929248510804322 0.031844936931162755
0.074 erf 1.3679139129645457 0.49282967279364503 0.032273258270300684
0.075 erf 1.367228037552312 0.49273454186612875 0.03270136359991871
0.076 erf 1.3665422586238167 0.4926394582792804 0.03312925296982941
0.077 erf 1.3658565761490433 0.49254442201449916 0.03355692642994339
0.078 erf 1.3651709900979658 0.4924494330531873 0.0339843840302691
0.079 erf 1.3644855004405498 0.49235449137674936 0.03441162582091275
0.08 erf 1.3638001071467523 0.49225959696659277 0.034838651852078156
0.081 erf 1.3631148101865203 0.4921647498041273 0.03526546217406659
0.082 erf 1.362429609529792 0.49206994987076524 0.03569205683727669
0.083 erf 1.361744505146498 0.49197519714792176 0.03611843589220421
0.084 erf 1.361059497006558 0.4918804916170143 0.036544599389442045
0.085 erf 1.3603745850798845 0.49178583325946273 0.036970547379679954
0.086 erf 1.35968976933638 0.49169122205668975 0.03739627991370442
0.087 erf 1.3590050497459394 0.49159665799012037 0.03782179704239873
0.088 erf 1.3583204262784476 0.4915021410411819 0.03824709881674247
0.089 erf 1.3576358989037813 0.4914076711913044 0.03867218528781171
0.09 erf 1.3569514675918086 0.49131324842192015 0.03909705650677872
0.091 erf 1.356267132312389 0.49121887271446396 0.03952171252491183
0.092 erf 1.3555828930353724 0.4911245440503731 0.03994615339357533
0.093 erf 1.3548987497306013 0.49103026241108705 0.040370379164229295
0.094 erf 1.3542147023679085 0.49093602777804785 0.04079438988842949
0.095 erf 1.353530750917119 0.4908418401326998 0.04121818561782717
0.096 erf 1.3528468953480488 0.49074769945648966 0.041641766404169035
0.097 erf 1.3521631356305057 0.49065360573086636 0.04206513229929694
0.098 erf 1.3514794717342886 0.49055955893728126 0.04248828335514792
0.099 erf 1.3507959036291879 0.4904655590571879 0.04291121962375395
0.1 erf 1.3501124312849864 0.4903716060720424 0.04333394115724182
0.101 erf 1.349429054667468 0.4902778992678792 0.04375555129118175
0.102 erf 1.3487457737582964 0.4901838443414152 0.044178723900360366
0.103 erf 1.3480625885114954 0.4900902271514228 0.0445999232121308
0.104 erf 1.347379498908467 0.4899964652497842 0.04502176973885607
0.105 erf 1.3466965049152038 0.4899027462683508 0.04544341925850959
0.106 erf 1.3460136065013573 0.48980907399226925 0.04586485471047545
0.107 erf 1.3453308036366496 0.4897154484800297 0.04628607580102527
0.108 erf 1.3446480962907965 0.48962186971466365 0.046707082576029964
0.109 erf 1.3439654844335043 0.4895283376776788 0.047127875088321274
0.11 erf 1.343282968034473 0.4894348523505536 0.04754845339096307
0.111 erf 1.3426005470633926 0.4893414137147685 0.04796881753711532
0.112 erf 1.341918221489946 0.4892480217518059 0.04838896758003122
0.113 erf 1.3412359912838077 0.48915467644315 0.0488089035730569
0.114 erf 1.3405538564146442 0.4890613777702877 0.049228625569631396
0.115 erf 1.3398718168521142 0.48896812571470744 0.04964813362328644
0.116 erf 1.3391898725658677 0.4888749202579 0.05006742778764631
0.117 erf 1.3385080235255473 0.4887817613813582 0.050486508116427756
0.118 erf 1.337826269700787 0.48868864906657694 0.050905374663439765
0.119 erf 1.3371446110612135 0.4885955832950529 0.051324027482583495
0.12 erf 1.3364630475764456 0.4885025640482851 0.05174246662785213
0.121 erf 1.3357815792160934 0.48840959130777445 0.052160692153330676
0.122 erf 1.3351002059497596 0.48831666505502375 0.052578704113195845
0.123 erf 1.3344189277470395 0.488223785271538 0.052996502561715945
0.124 erf 1.3337377445775196 0.48813095193882383 0.05341408755325071
0.125 erf 1.3330566564107795 0.48803816503839015 0.05383145914225117
0.126 erf 1.3323756632163908 0.4879454245517478 0.05424861738325949
0.127 erf 1.3316947649639173 0.48785273046040933 0.054665562330908836
0.128 erf 1.3310139616229146 0.48776008274588933 0.05508229403992325
0.129 erf 1.3303332531629313 0.4876674813897044 0.05549881256511743
